Metric                                                                                               stock_combine_m16  combine32_combine_m16
smsp__pcsamp_sample_count                                                                                          402                    400
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                                   288                    291
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                                                   29                     26
smsp__pcsamp_warps_issue_stalled_wait                                                                               38                     25
smsp__pcsamp_warps_issue_stalled_barrier                                                                             0                      0
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                                                  0                      1
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                                        0                      0
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                                         0                      0
smsp__pcsamp_warps_issue_stalled_not_selected                                                                        0                      0
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                                      2                      8
smsp__pcsamp_warps_issue_stalled_drain                                                                               3                      1
smsp__pcsamp_warps_issue_stalled_no_instructions                                                                    23                     21
smsp__pcsamp_warps_issue_stalled_selected                                                                           18                     25
smsp__pcsamp_warps_issue_stalled_branch_resolving                                                                    1                      2
smsp__pcsamp_warps_issue_stalled_membar                                                                              0                      0
