Metric                                                                                               stock_main_m16      stock_main_m32
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                                280                 503
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                                                52                 107
smsp__pcsamp_warps_issue_stalled_wait                                                                            73                 174
smsp__pcsamp_warps_issue_stalled_barrier                                                                        304                  91
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                                               2                   7
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                                    15                 115
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                                      0                   0
smsp__pcsamp_warps_issue_stalled_not_selected                                                                     5                  24
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                                   0                   3
smsp__pcsamp_warps_issue_stalled_drain                                                                            0                   2
smsp__pcsamp_warps_issue_stalled_no_instructions                                                                 91                 143
smsp__pcsamp_warps_issue_stalled_selected                                                                        74                 147
smsp__pcsamp_warps_issue_stalled_branch_resolving                                                                24                  20
smsp__pcsamp_warps_issue_stalled_membar                                                                           0                   0
