API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
7988353165,7835,7988361000,1660,7988362660,17632,27127,691067,691067,0,cudaLaunchKernel,   1  148    1, 384    1    1,flash_fwd_splitkv_mla_fp8_sparse_kernel
7988362923,6447,7988369370,6794,7988376164,13216,26457,691067,691067,0,cudaLaunchKernelExC_v11060,  16    1    8, 256    1    1,flash_fwd_mla_combine_kernel
