模型,层类型,算子名称,执行阶段,数据精度,测量类型,sweep轴,sweep取值,算子规模/shape,latency_us,TFLOPS,sglang入口,底层Kernel,实现类型,B200实测后端,备选实现,备注/发现
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,2048,"[2048,7168]x[7168,2112] aligned(7168,2176)",71.86,889.05,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,4096,"[4096,7168]x[7168,2112] aligned(7168,2176)",150.12,851.15,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,8192,"[8192,7168]x[7168,2112] aligned(7168,2176)",248.0,1030.44,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,16384,"[16384,7168]x[7168,2112] aligned(7168,2176)",436.44,1171.06,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,32768,"[32768,7168]x[7168,2112] aligned(7168,2176)",877.83,1164.47,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,reference,,ref,"[16,7168]×[7168,2112]",56.60,8.82,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测; 备选 sgl_kernel.dsv3_fused_a_gemm bf16=54.20us || sweep decode_B[1..256]: 56–58us (见kimi_k27_sweeps.csv) || 发现: decode B1→256 平坦(~57us)，launch/带宽受限，非compute-bound(CUDA-graph计时才能测真实核时间)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,1,"[1,7168]x[7168,2112] aligned(7168,2176)",57.13,0.55,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,2,"[2,7168]x[7168,2112] aligned(7168,2176)",57.61,1.08,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,4,"[4,7168]x[7168,2112] aligned(7168,2176)",57.25,2.18,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,8,"[8,7168]x[7168,2112] aligned(7168,2176)",56.86,4.39,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,16,"[16,7168]x[7168,2112] aligned(7168,2176)",56.53,8.83,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,32,"[32,7168]x[7168,2112] aligned(7168,2176)",56.17,17.77,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,64,"[64,7168]x[7168,2112] aligned(7168,2176)",57.05,35.0,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,128,"[128,7168]x[7168,2112] aligned(7168,2176)",56.96,70.1,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,256,"[256,7168]x[7168,2112] aligned(7168,2176)",57.46,138.98,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_b,Prefill,FP8 W8A8,reference,,ref,"[16384,1536]×[1536,1536]",77.83,993.29,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,reference,,ref,"[16,1536]×[1536,12288]",52.52,11.5,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测 || sweep decode_B[1..256]: 53–55us (见kimi_k27_sweeps.csv) || 发现: decode B1→256 平坦(~57us)，launch/带宽受限，非compute-bound(CUDA-graph计时才能测真实核时间)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,1,"[1,1536]x[1536,12288] aligned(1536,12288)",52.62,0.72,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,2,"[2,1536]x[1536,12288] aligned(1536,12288)",52.68,1.43,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,4,"[4,1536]x[1536,12288] aligned(1536,12288)",52.63,2.87,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,8,"[8,1536]x[1536,12288] aligned(1536,12288)",52.58,5.74,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,16,"[16,1536]x[1536,12288] aligned(1536,12288)",52.66,11.47,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,32,"[32,1536]x[1536,12288] aligned(1536,12288)",52.91,22.83,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,64,"[64,1536]x[1536,12288] aligned(1536,12288)",53.19,45.42,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,128,"[128,1536]x[1536,12288] aligned(1536,12288)",54.43,88.77,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,256,"[256,1536]x[1536,12288] aligned(1536,12288)",55.31,174.73,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,KV_b,Prefill,FP8 W8A8,reference,,ref,"[16384,512]×[512,2048]",73.39,468.19,kv_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测
Kimi-K2.7,mla,KV_b absorb BMM,Decode,BF16,reference,,ref,"[16,8,128]×[8,128,512]",49.58,0.34,w_kc (from kv_b),torch.bmm,cuBLAS,torch.bmm bf16,备选: sgl_kernel.bmm_fp8 (CUDA) / DeepGEMM masked,B200 补测; 备选 sgl_kernel.bmm_fp8
Kimi-K2.7,mla,V absorb BMM,Decode,BF16,reference,,ref,"[16,8,512]×[8,512,128]",50.05,0.34,w_vc (from kv_b),torch.bmm,cuBLAS,torch.bmm bf16,备选: sgl_kernel.bmm_fp8 (CUDA) / DeepGEMM masked,B200 补测; 备选 sgl_kernel.bmm_fp8
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,reference,,ref,"[16384,1024]×[1024,7168]",264.18,910.44,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测 || sweep prefill_M[512..32768]: 55–534us (见kimi_k27_sweeps.csv)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,512,"[512,1024]x[1024,7168] aligned(1024,7168)",54.7,137.41,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,1024,"[1024,1024]x[1024,7168] aligned(1024,7168)",58.84,255.5,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,2048,"[2048,1024]x[1024,7168] aligned(1024,7168)",65.22,460.96,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,4096,"[4096,1024]x[1024,7168] aligned(1024,7168)",72.26,832.13,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,8192,"[8192,1024]x[1024,7168] aligned(1024,7168)",156.06,770.59,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
