模型,层类型,算子名称,执行阶段,数据精度,测量类型,sweep轴,sweep取值,算子规模/shape,latency_us,TFLOPS,sglang入口,底层Kernel,实现类型,B200实测后端,备选实现,备注/发现
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_B,4,"Q:[4,1,64,576] KV:paged(4096,576) v=512",62.73,36.37,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_B,8,"Q:[8,1,64,576] KV:paged(4096,576) v=512",71.15,64.14,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_B,16,"Q:[16,1,64,576] KV:paged(4096,576) v=512",71.37,127.89,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_B,32,"Q:[32,1,64,576] KV:paged(4096,576) v=512",145.44,125.51,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_B,64,"Q:[64,1,64,576] KV:paged(4096,576) v=512",174.2,209.57,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_B,128,"Q:[128,1,64,576] KV:paged(4096,576) v=512",333.49,218.94,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_B,256,"Q:[256,1,64,576] KV:paged(4096,576) v=512",615.16,237.38,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,reference,,ref,"[16384,7168]×[7168,384]",173.43,520.05,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),TopK: sgl_kernel CUDA；非 Triton,B200 补测; M>16 走 cuBLAS 非 router_gemm || sweep prefill_M[512..32768]: 56–351us (见kimi_k27_sweeps.csv) || 发现: M<2k时 launch-bound(~56us)，M>2k后~线性
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,prefill_M,512,"[512,7168]x[7168,384]",55.92,50.41,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,prefill_M,1024,"[1024,7168]x[7168,384]",58.93,95.66,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,prefill_M,2048,"[2048,7168]x[7168,384]",60.08,187.66,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,prefill_M,4096,"[4096,7168]x[7168,384]",65.73,343.05,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,prefill_M,8192,"[8192,7168]x[7168,384]",83.8,538.18,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,prefill_M,16384,"[16384,7168]x[7168,384]",172.86,521.77,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,prefill_M,32768,"[32768,7168]x[7168,384]",351.32,513.45,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,decode_B,1,"[1,7168]x[7168,384]",53.43,0.1,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,decode_B,2,"[2,7168]x[7168,384]",53.59,0.21,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,decode_B,4,"[4,7168]x[7168,384]",53.51,0.41,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,decode_B,8,"[8,7168]x[7168,384]",53.51,0.82,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,decode_B,16,"[16,7168]x[7168,384]",53.43,1.65,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,decode_B,32,"[32,7168]x[7168,384]",53.5,3.29,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,decode_B,64,"[64,7168]x[7168,384]",53.58,6.58,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,decode_B,128,"[128,7168]x[7168,384]",54.81,12.86,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Prefill,BF16→FP32,sweep,decode_B,256,"[256,7168]x[7168,384]",56.29,25.03,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,F.linear / torch.mm (cuBLAS bf16),,sweep op=MoE Router (cuBLAS)
Kimi-K2.7,moe,MoE Router,Decode,BF16→FP32,reference,,ref,"[16,7168]×[7168,384]",57.77,1.52,mlp.gate,dsv3_router_gemm JIT,CUDA-JIT,"sgl_kernel.dsv3_router_gemm (CUDA JIT, fp32)",TopK: sgl_kernel CUDA；非 Triton,B200 补测 || sweep decode_B[1..16]: 50–58us (见kimi_k27_sweeps.csv) || 发现: dsv3_router_gemm 随B增长(B=16→58us)，B=16已慢于cuBLAS(53us)，故sglang仅M≤16启用此核
Kimi-K2.7,moe,MoE Router,Decode,BF16→FP32,sweep,decode_B,1,"[1,7168]x[7168,384]",50.15,0.11,mlp.gate,dsv3_router_gemm JIT,CUDA-JIT,"sgl_kernel.dsv3_router_gemm (CUDA JIT, out fp32)",,sweep op=MoE Router (dsv3_router_gemm)
Kimi-K2.7,moe,MoE Router,Decode,BF16→FP32,sweep,decode_B,2,"[2,7168]x[7168,384]",50.55,0.22,mlp.gate,dsv3_router_gemm JIT,CUDA-JIT,"sgl_kernel.dsv3_router_gemm (CUDA JIT, out fp32)",,sweep op=MoE Router (dsv3_router_gemm)
Kimi-K2.7,moe,MoE Router,Decode,BF16→FP32,sweep,decode_B,4,"[4,7168]x[7168,384]",51.28,0.43,mlp.gate,dsv3_router_gemm JIT,CUDA-JIT,"sgl_kernel.dsv3_router_gemm (CUDA JIT, out fp32)",,sweep op=MoE Router (dsv3_router_gemm)
Kimi-K2.7,moe,MoE Router,Decode,BF16→FP32,sweep,decode_B,8,"[8,7168]x[7168,384]",52.66,0.84,mlp.gate,dsv3_router_gemm JIT,CUDA-JIT,"sgl_kernel.dsv3_router_gemm (CUDA JIT, out fp32)",,sweep op=MoE Router (dsv3_router_gemm)
Kimi-K2.7,moe,MoE Router,Decode,BF16→FP32,sweep,decode_B,16,"[16,7168]x[7168,384]",57.79,1.52,mlp.gate,dsv3_router_gemm JIT,CUDA-JIT,"sgl_kernel.dsv3_router_gemm (CUDA JIT, out fp32)",,sweep op=MoE Router (dsv3_router_gemm)
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Prefill,FP8 grouped,reference,,ref,"384×[512,7168]×[7168,256]",897.72,803.76,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,备选: Triton fused_experts / CUTLASS / FlashInfer TRTLLM MoE,sweep tokens_per_expert[16..1024]: 587–1807us (见kimi_k27_sweeps.csv) || 发现: 128行对齐填充地板，<128 tokens/expert 走满128行(~587us不变)；真实路由比topk(randn)更倾斜，填充代价更高
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Prefill,FP8 grouped,sweep,tokens_per_expert,16,E=384 m_sum=49152 K=7168 N=256 (uniform=16),587.77,306.9,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm contiguous (non-uniform),,sweep op=MoE GateUp grouped (contig)
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Prefill,FP8 grouped,sweep,tokens_per_expert,32,E=384 m_sum=49152 K=7168 N=256 (uniform=32),589.66,305.92,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm contiguous (non-uniform),,sweep op=MoE GateUp grouped (contig)
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Prefill,FP8 grouped,sweep,tokens_per_expert,64,E=384 m_sum=49152 K=7168 N=256 (uniform=64),586.92,307.35,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm contiguous (non-uniform),,sweep op=MoE GateUp grouped (contig)
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Prefill,FP8 grouped,sweep,tokens_per_expert,128,E=384 m_sum=49152 K=7168 N=256 (uniform=128),587.08,307.27,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm contiguous (non-uniform),,sweep op=MoE GateUp grouped (contig)
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Prefill,FP8 grouped,sweep,tokens_per_expert,256,E=384 m_sum=98304 K=7168 N=256 (uniform=256),661.08,545.74,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm contiguous (non-uniform),,sweep op=MoE GateUp grouped (contig)
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Prefill,FP8 grouped,sweep,tokens_per_expert,341,E=384 m_sum=147456 K=7168 N=256 (uniform=341),876.49,617.42,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm contiguous (non-uniform),,sweep op=MoE GateUp grouped (contig)
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Prefill,FP8 grouped,sweep,tokens_per_expert,512,E=384 m_sum=196608 K=7168 N=256 (uniform=512),1071.89,673.16,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm contiguous (non-uniform),,sweep op=MoE GateUp grouped (contig)
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Prefill,FP8 grouped,sweep,tokens_per_expert,1024,E=384 m_sum=393216 K=7168 N=256 (uniform=1024),1807.35,798.47,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm contiguous (non-uniform),,sweep op=MoE GateUp grouped (contig)
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Prefill,FP8 grouped,sweep,tokens_per_expert,routed_M4096,E=384 m_sum=49152 K=7168 N=256 (routed M=4096 min55/max114),588.12,306.72,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm contiguous (non-uniform),,sweep op=MoE GateUp grouped (contig)
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Prefill,FP8 grouped,sweep,tokens_per_expert,routed_M16384,E=384 m_sum=147840 K=7168 N=256 (routed M=16384 min288/max400),874.94,620.13,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm contiguous (non-uniform),,sweep op=MoE GateUp grouped (contig)
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Decode,FP8 masked,reference,,ref,"8×[16,7168]×[7168,2048] approx",73.53,51.11,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm.fp8_m_grouped_gemm_nt_masked,备选: Triton fused_experts / CUTLASS / FlashInfer TRTLLM MoE,B200 补测 masked E=8 || sweep masked_m[1..128]: 73–74us (见kimi_k27_sweeps.csv) || 发现: masked 128对齐填充，masked_m<128 成本不变(~73us)，代价随专家组数(EP度)而非有效token数增长
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Decode,FP8 masked,sweep,masked_m,1,"8x[1,7168]x[7168,2048] (masked, padded M=128)",73.23,3.21,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm.fp8_m_grouped_gemm_nt_masked,,sweep op=MoE GateUp masked
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Decode,FP8 masked,sweep,masked_m,2,"8x[2,7168]x[7168,2048] (masked, padded M=128)",73.24,6.41,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm.fp8_m_grouped_gemm_nt_masked,,sweep op=MoE GateUp masked
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Decode,FP8 masked,sweep,masked_m,4,"8x[4,7168]x[7168,2048] (masked, padded M=128)",73.3,12.82,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm.fp8_m_grouped_gemm_nt_masked,,sweep op=MoE GateUp masked
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Decode,FP8 masked,sweep,masked_m,8,"8x[8,7168]x[7168,2048] (masked, padded M=128)",73.26,25.65,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm.fp8_m_grouped_gemm_nt_masked,,sweep op=MoE GateUp masked
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Decode,FP8 masked,sweep,masked_m,16,"8x[16,7168]x[7168,2048] (masked, padded M=128)",73.02,51.47,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm.fp8_m_grouped_gemm_nt_masked,,sweep op=MoE GateUp masked
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Decode,FP8 masked,sweep,masked_m,32,"8x[32,7168]x[7168,2048] (masked, padded M=128)",73.64,102.07,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm.fp8_m_grouped_gemm_nt_masked,,sweep op=MoE GateUp masked
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Decode,FP8 masked,sweep,masked_m,64,"8x[64,7168]x[7168,2048] (masked, padded M=128)",73.16,205.48,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm.fp8_m_grouped_gemm_nt_masked,,sweep op=MoE GateUp masked
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Decode,FP8 masked,sweep,masked_m,128,"8x[128,7168]x[7168,2048] (masked, padded M=128)",73.12,411.15,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm.fp8_m_grouped_gemm_nt_masked,,sweep op=MoE GateUp masked
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Decode,FP8 masked,sweep,masked_m,skew8,E=8 masked_m=skew8 K=7168 N=2048,73.34,102.09,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm masked (non-uniform),,sweep op=MoE GateUp masked
Kimi-K2.7,moe,MoE GateUp GroupGEMM,Decode,FP8 masked,sweep,masked_m,ep12,E=12 masked_m=ep12 K=7168 N=2048,86.66,65.05,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm masked (non-uniform),,sweep op=MoE GateUp masked
Kimi-K2.7,moe,MoE Down GroupGEMM,Prefill,FP8 grouped,reference,,ref,"384×[512,256]×[256,7168]",2440.95,295.6,experts.w2_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,备选: Triton fused_experts / CUTLASS / FlashInfer TRTLLM MoE,B200 补测 contiguous E=384 || 发现: 同GateUp，128行对齐填充地板(<128 tokens/expert 走满128行)
Kimi-K2.7,moe,MoE Down GroupGEMM,Decode,FP8 masked,reference,,ref,"8×[16,1024]×[1024,7168] approx",60.97,30.82,experts.w2_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,deep_gemm.fp8_m_grouped_gemm_nt_masked,备选: Triton fused_experts / CUTLASS / FlashInfer TRTLLM MoE,B200 补测 masked E=8 || 发现: masked 128对齐填充，masked_m<128 成本不变
Kimi-K2.7,moe_shared,MoE Shared GateUp,Prefill,FP8 W8A8,reference,,ref,"[16384,7168]×[7168,512]",148.43,810.19,shared_experts.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,
Kimi-K2.7,moe_shared,MoE Shared Down,Prefill,FP8 W8A8,reference,,ref,"[16384,256]×[256,7168]",240.41,250.11,shared_experts.down_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,
Kimi-K2.7,moe_shared,MoE Shared GateUp,Decode,FP8 W8A8,reference,,ref,"[16,7168]×[7168,512]",55.77,2.11,shared_experts.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,
Kimi-K2.7,moe_shared,MoE Shared Down,Decode,FP8 W8A8,reference,,ref,"[16,256]×[256,7168]",51.12,1.15,shared_experts.down_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,
Kimi-K2.7,output,LM Head,Prefill,BF16,reference,,ref,"[16384,7168]×[7168,163840]",58362.49,659.38,lm_head,torch.mm,cuBLAS,torch.mm bf16 (lm_head),可选 FP8 DeepGEMM（若量化）,
Kimi-K2.7,output,LM Head,Decode,BF16,reference,,ref,"[16,7168]×[7168,163840]",892.85,42.09,lm_head,torch.mm,cuBLAS,torch.mm bf16 (lm_head),可选 FP8 DeepGEMM（若量化）,
Kimi-K2.7,mla,RoPE (q+k),Prefill,BF16,reference,,ref,"q[16384,64,64] k[16384,1,64]",144.22,,rotary_emb,apply_rope_with_cos_sin_cache_inplace,CUDA-JIT,JIT rope (neox),fused_qk_norm_rope / dsv4 fused,补测: 每层 MLA rope
Kimi-K2.7,mla,RoPE (q+k),Decode,BF16,reference,,ref,"q[16,64,64] k[16,1,64]",48.77,,rotary_emb,apply_rope_with_cos_sin_cache_inplace,CUDA-JIT,JIT rope (neox),fused_qk_norm_rope,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈
Kimi-K2.7,mla,q_a_layernorm,Prefill,BF16,reference,,ref,"[16384,1536]",62.02,,q_a_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,-,补测: MLA q-lora latent norm
Kimi-K2.7,mla,q_a_layernorm,Decode,BF16,reference,,ref,"[16,1536]",49.15,,q_a_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,-,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈
Kimi-K2.7,mla,kv_a_layernorm,Prefill,BF16,reference,,ref,"[16384,512]",53.93,,kv_a_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,-,补测: MLA kv-lora latent norm
Kimi-K2.7,mla,kv_a_layernorm,Decode,BF16,reference,,ref,"[16,512]",48.64,,kv_a_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,-,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈
Kimi-K2.7,all_layers,Fused add+RMSNorm,Prefill,BF16,reference,,ref,"[16384,7168]",336.24,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,fused_add_rmsnorm (residual融合),-,补测: 稳态残差+norm 融合路径 || sweep prefill_M[512..32768]: 52–623us (见kimi_k27_sweeps.csv)
Kimi-K2.7,all_layers,Fused add+RMSNorm,Prefill,BF16,sweep,prefill_M,512,"[512,7168]",52.27,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Prefill,BF16,sweep,prefill_M,1024,"[1024,7168]",55.32,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Prefill,BF16,sweep,prefill_M,2048,"[2048,7168]",61.37,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Prefill,BF16,sweep,prefill_M,4096,"[4096,7168]",84.22,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Prefill,BF16,sweep,prefill_M,8192,"[8192,7168]",169.13,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Prefill,BF16,sweep,prefill_M,16384,"[16384,7168]",336.59,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Prefill,BF16,sweep,prefill_M,32768,"[32768,7168]",622.9,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Decode,BF16,reference,,ref,"[16,7168]",49.77,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,fused_add_rmsnorm,-,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈 || sweep decode_B[1..256]: 49–51us (见kimi_k27_sweeps.csv)
Kimi-K2.7,all_layers,Fused add+RMSNorm,Decode,BF16,sweep,decode_B,1,"[1,7168]",49.24,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Decode,BF16,sweep,decode_B,2,"[2,7168]",49.75,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Decode,BF16,sweep,decode_B,4,"[4,7168]",49.63,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Decode,BF16,sweep,decode_B,8,"[8,7168]",49.58,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Decode,BF16,sweep,decode_B,16,"[16,7168]",49.97,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Decode,BF16,sweep,decode_B,32,"[32,7168]",49.99,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Decode,BF16,sweep,decode_B,64,"[64,7168]",50.03,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Decode,BF16,sweep,decode_B,128,"[128,7168]",49.6,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,all_layers,Fused add+RMSNorm,Decode,BF16,sweep,decode_B,256,"[256,7168]",50.84,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,sgl_kernel.fused_add_rmsnorm,,sweep op=Fused add+RMSNorm
Kimi-K2.7,moe,MoE Gate (fused topk),Prefill,FP32,reference,,ref,"[16384,384] topk=8",79.08,,mlp.gate -> topk,sgl_kernel.kimi_k2_moe_fused_gate,CUDA,"kimi_k2_moe_fused_gate (Kimi专用, sigmoid+biased topk)",moe_fused_gate / biased_grouped_topk,补测: Kimi专用路由核; num_expert_group=1
Kimi-K2.7,moe,MoE Gate (fused topk),Decode,FP32,reference,,ref,"[16,384] topk=8",52.19,,mlp.gate -> topk,sgl_kernel.kimi_k2_moe_fused_gate,CUDA,kimi_k2_moe_fused_gate,moe_fused_gate,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈 || sweep decode_B[1..256]: 52–53us (见kimi_k27_sweeps.csv)
