operator,category,backend,phase,axis_M,axis_S,latency_ms,tflops,gbps,ai,ridge,bound,compute_util,bw_util,reward,compute_dtype,error
fused_qkv_a_proj,Attention,deep_gemm.fp8_gemm_nt,decode,1,65536,0.026953598856925963,1.1962674139047185,598.7130729985371,1.9980646287101227,562.5,memory,0.00026583720308993744,0.07483913412481714,0.07483913412481713,fp8,
q_b_proj,Attention,deep_gemm.fp8_gemm_nt,decode,1,65536,0.028411200642585753,2.3620566002905923,1182.5443219615456,1.9974360000076197,562.5,memory,0.0005249014667312428,0.1478180402451932,0.14781804024519318,fp8,
absorbed_W_UK,Attention,torch.bmm (bf16),decode,1,65536,0.003009600006043911,4.18092503147623,4210.866551883937,0.9928894634776988,281.25,memory,0.0018581889028783244,0.5263583189854922,0.5263583189854921,bf16,
absorbed_W_UV,Attention,torch.bmm (bf16),decode,1,65536,0.003139200061559677,5.344423952280514,5375.7389363759075,0.9941747572815534,281.25,memory,0.002375299534346895,0.6719673670469885,0.6719673670469885,bf16,
o_proj,Attention,deep_gemm.fp8_gemm_nt,decode,1,65536,0.047040000557899475,4.279901990056227,2141.093852157416,1.9989324548962193,562.5,memory,0.000951089331123606,0.26763673151967704,0.26763673151967704,fp8,
dsa_decode_attn,DSA,flashinfer trtllm-gen (fp8 KV),decode,1,65536,0.00888800024986267,32.089633661340955,145.16651257069165,221.05396825396826,562.5,memory,0.007131029702520212,0.018145814071336457,0.018145814071336454,fp8,
index_k_proj,DSA-Indexer,torch.F.linear (bf16),decode,1,65536,0.004787199944257736,0.3285561535583355,331.1764744444616,0.9920878411109317,281.25,memory,0.000146024957137038,0.04139705930555769,0.04139705930555769,bf16,
index_q_upproj,DSA-Indexer,deep_gemm.fp8_gemm_nt,decode,1,65536,0.019516800343990327,0.8596294322991366,430.4476067762228,1.9970593836894832,562.5,memory,0.00019102876273314147,0.053805950847027856,0.053805950847027856,fp8,
index_weights_proj,DSA-Indexer,torch.mm (bf16->f32),decode,1,65536,0.004214400053024292,0.09330296010171711,96.24904966222056,0.9693909750710004,281.25,memory,4.146798226742983e-05,0.012031131207777568,0.012031131207777568,bf16,
index_score,DSA-Indexer,deep_gemm.fp8_paged_mqa_logits,decode,1,65536,0.004444799944758415,120.78629379779211,2006.191529613301,60.20676092729491,562.5,memory,0.02684139862173158,0.25077394120166263,0.2507739412016627,fp8,
moe_gate_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,decode,1,65536,0.027164798974990845,7.411304320173709,3709.629071533888,1.9978558980586223,562.5,memory,0.0016469565155941576,0.46370363394173597,0.46370363394173597,fp8,
moe_up_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,decode,1,65536,0.02733759880065918,7.3644577736339265,3686.1806603720493,1.9978558980586223,562.5,memory,0.0016365461719186503,0.46077258254650616,0.4607725825465062,fp8,
moe_down_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,decode,1,65536,0.025119999051094057,8.014593933323878,4012.8612980823223,1.9972267511847257,562.5,memory,0.001781020874071973,0.5016076622602903,0.5016076622602903,fp8,
