op,winner,o16,o32,h16,h32,r16,r32,ours_exit,hcx_exit
fused_qkv_a_decode,PR5,17.72,18.28,8.888,10.64,1.994,1.718,0,0
q_b_decode,ours,11.704,11.848,13.68,14.672,0.856,0.808,0,0
moe_gate_proj_decode,平手,30.808,30.696,30.68,30.489,1.004,1.007,0,0
moe_up_proj_decode,平手,31.024,31.062,30.608,30.728,1.014,1.011,0,0
index_q_upproj_decode,PR5,7.144,8.224,6.4,7.538,1.116,1.091,0,0
dsa_attn_decode,PR5,44.819,46.4,27.345,37.088,1.639,1.251,1,1
