Metric                                                                                               stock_combine_m16  combine32_combine_m16
smsp__pcsamp_sample_count                                                                                          387                    402
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                                   281                    301
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                                                   40                     35
smsp__pcsamp_warps_issue_stalled_wait                                                                               24                     27
smsp__pcsamp_warps_issue_stalled_barrier                                                                             0                      0
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                                                  1                      1
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                                        2                      0
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                                         0                      0
smsp__pcsamp_warps_issue_stalled_not_selected                                                                        2                      3
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                                      1                      1
smsp__pcsamp_warps_issue_stalled_drain                                                                               1                      2
smsp__pcsamp_warps_issue_stalled_no_instructions                                                                    19                     19
smsp__pcsamp_warps_issue_stalled_selected                                                                           15                     11
smsp__pcsamp_warps_issue_stalled_branch_resolving                                                                    1                      2
smsp__pcsamp_warps_issue_stalled_membar                                                                              0                      0
