Metric                                                                                               stock_main_m16      stock_main_m32
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                                265                 485
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                                                47                 111
smsp__pcsamp_warps_issue_stalled_wait                                                                            83                 161
smsp__pcsamp_warps_issue_stalled_barrier                                                                        312                 136
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                                               3                  10
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                                    17                 125
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                                      0                   0
smsp__pcsamp_warps_issue_stalled_not_selected                                                                     8                  26
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                                   4                   1
smsp__pcsamp_warps_issue_stalled_drain                                                                            0                   0
smsp__pcsamp_warps_issue_stalled_no_instructions                                                                 92                 124
smsp__pcsamp_warps_issue_stalled_selected                                                                        65                 133
smsp__pcsamp_warps_issue_stalled_branch_resolving                                                                21                  18
smsp__pcsamp_warps_issue_stalled_membar                                                                           0                   0
