Metric                                                                                                        stock           candidate
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                               5319                5073
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                                               116                 104
smsp__pcsamp_warps_issue_stalled_wait                                                                           315                 244
smsp__pcsamp_warps_issue_stalled_barrier                                                                       1753                1474
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                                               0                   1
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                                     0                   1
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                                      0                   0
smsp__pcsamp_warps_issue_stalled_not_selected                                                                     1                   3
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                                   8                   9
smsp__pcsamp_warps_issue_stalled_drain                                                                            0                   0
smsp__pcsamp_warps_issue_stalled_no_instructions                                                                 88                  54
smsp__pcsamp_warps_issue_stalled_selected                                                                       198                 155
smsp__pcsamp_warps_issue_stalled_branch_resolving                                                               187                 135
smsp__pcsamp_warps_issue_stalled_membar                                                                           0                   0
