Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.3,196367,6,32727.8,16910.5,13987,114063,39867.7,cudaLaunchKernelExC_v11060
12.3,45430,2,22715.0,22715.0,20409,25021,3261.2,cuLaunchKernelEx
8.2,30386,4,7596.5,4122.5,1270,20871,9242.1,cudaEventRecordWithFlags_v11010
5.5,20146,4,5036.5,3828.5,1339,11150,4674.0,cudaStreamWaitEvent
5.4,19915,4,4978.8,2187.0,895,14646,6531.6,cudaEventCreateWithFlags
4.7,17392,1,17392.0,17392.0,17392,17392,0.0,cudaLaunchKernel
4.0,14633,1,14633.0,14633.0,14633,14633,0.0,cuProfilerStart
2.5,9128,8,1141.0,227.0,206,5888,1986.3,cudaStreamIsCapturing_v10000
1.9,6865,4,1716.3,1604.0,543,3114,1232.0,cudaEventDestroy
1.4,5241,5,1048.2,156.0,119,4630,2002.4,cuTensorMapEncodeTiled
0.5,1729,2,864.5,864.5,307,1422,788.4,cuKernelGetAttribute
0.3,1282,2,641.0,641.0,628,654,18.4,cuKernelGetName
