Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.4,12000,1,12000.0,12000.0,12000,12000,0.0,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1MultiCtasKvGmemSepVarSeqQ64Kv128StaticKeepsAbForGen
15.0,7392,1,7392.0,7392.0,7392,7392,0.0,"void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)0, (unsigned int)0, (unsigned int)0, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)12, (unsigned int)128, (unsigned int)128, (unsigned int)2, (bool)1, (unsigned int)148, (bool)1, (bool)1, (deep_gemm::GemmType)0, (bool)0, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
12.6,6208,1,6208.0,6208.0,6208,6208,0.0,"void <unnamed>::topk_main_kernel<(bool)1, (int)0>(<unnamed>::TopKLaunchParams)"
11.4,5600,1,5600.0,5600.0,5600,5600,0.0,"void deep_gemm::sm100_paged_mqa_logits<(bool)0, (unsigned int)1, (unsigned int)32, (unsigned int)128, (unsigned int)64, (bool)1, (bool)0, (unsigned int)3, (unsigned int)5, (unsigned int)256, (unsigned int)16, (unsigned int)128, (unsigned int)256, float, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, const unsigned int *, T14 *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
8.7,4288,1,4288.0,4288.0,4288,4288,0.0,nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN
8.4,4128,1,4128.0,4128.0,4128,4128,0.0,"void tensorrt_llm::kernels::fmhaReductionKernel<(int)64, (int)512, (bool)1, __nv_bfloat16, __nv_bfloat16>(KernelParams, bool, bool, bool, int, int, int, int)"
4.5,2240,1,2240.0,2240.0,2240,2240,0.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
4.4,2176,1,2176.0,2176.0,2176,2176,0.0,"void <unnamed>::fused_k_indexer_norm_rope_store<__nv_bfloat16, long, (bool)1, (int)6>(<unnamed>::FusedKIndexerNormRopeStoreParams)"
4.4,2176,1,2176.0,2176.0,2176,2176,0.0,"void <unnamed>::fused_q_indexer_rope_hadamard_quant<__nv_bfloat16, long, (bool)1, (bool)1, (bool)0>(<unnamed>::FusedQIndexerRopeHadamardQuantParams)"
3.4,1664,1,1664.0,1664.0,1664,1664,0.0,"void <unnamed>::per_token_group_quant_8bit_v2_kernel<<unnamed>::NaiveScheduler, (int)128, (int)8, __nv_bfloat16, __nv_fp8_e4m3, (bool)1, (bool)1, (bool)0, (bool)1, unsigned int>(const T4 *, T5 *, T10 *, const int *, int, int, int, int, int)"
2.9,1408,1,1408.0,1408.0,1408,1408,0.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
