Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
35247319,42496,168,512,1,1,256,1,1,255,0.000,0.213,,,,,NVIDIA B200 (0),1,,13,indexer-fused-prefill-m4096-eager-dual-stock/nvjet_sm100_tst_128x256_64x6_2x2_2cta_h_bz_TNT
35400854,17376,185,128,1,1,256,1,1,255,0.000,0.224,,,,,NVIDIA B200 (0),1,,7,indexer-fused-prefill-m4096-eager-dual-stock/nvjet_sm100_tst_96x64_64x15_2x2_2cta_h_bz_TNN
35671478,35872,242,32768,1,1,128,1,1,20,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,indexer-fused-prefill-m4096-eager-dual-stock/fused_q_indexer_rope_hadamard_quant
35776374,3168,247,1024,1,1,128,1,1,28,0.000,0.000,,,,,NVIDIA B200 (0),1,,13,indexer-fused-prefill-m4096-eager-dual-stock/fused_k_indexer_norm_rope_store
